year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80,code
2006,198,502,1269,1686,2124,9386,4878,532,378,378,84,GO
2007,177,279,735,1099,1343,5503,2960,305,244,248,61,GO
2008,429,809,1641,2638,3087,13402,7899,935,627,585,165,GO
2009,360,653,1213,2436,3049,13037,7506,886,634,635,141,GO
2010,792,1542,2949,5575,7275,29045,19357,2460,1846,2338,604,GO
2011,289,417,723,1461,2089,8287,4969,557,408,449,117,GO
2012,299,471,785,1249,2050,7931,4089,487,296,355,90,GO
2013,1004,2015,3889,6738,9458,38290,22807,2994,2014,2275,647,GO
2014,1046,1320,2813,5453,8634,31121,19170,2494,1777,1940,583,GO
2015,1318,1970,4062,7334,10871,41173,27945,3908,2703,3075,989,GO
2016,1213,1937,3591,5657,8422,33992,21056,2752,2011,1989,636,GO
2017,673,1187,1913,3057,4713,18411,11545,1455,1030,1021,370,GO
2018,1029,1671,2925,4743,6721,28608,19069,2689,1825,1902,685,GO
2019,1397,2753,4755,7155,10276,42139,29036,4088,2894,3236,1223,GO
2020,961,1482,2178,2957,4623,23538,16133,2068,1461,1618,584,GO
2001,38,153,307,545,735,2158,1240,214,118,150,55,MA
2002,99,189,393,697,937,2880,1740,240,194,164,48,MA
2003,81,161,304,546,685,1961,1159,150,110,104,47,MA
2004,22,31,50,103,144,523,314,40,26,29,10,MA
2005,40,95,223,340,507,1499,847,112,91,88,34,MA
2006,78,221,338,302,415,1225,664,97,51,66,17,MA
2007,334,821,1491,1172,1205,3598,1965,286,247,202,81,MA
2008,118,281,579,481,504,1615,746,85,71,69,18,MA
2009,36,66,116,214,238,608,308,22,22,12,13,MA
2010,158,333,858,600,446,1437,614,73,61,78,26,MA
2011,194,553,1057,998,776,2597,1363,172,115,133,34,MA
2012,120,216,317,348,382,1234,639,59,57,72,27,MA
2013,123,184,316,246,268,881,341,49,28,34,7,MA
2014,88,124,193,160,181,491,281,39,21,27,11,MA
2015,113,218,382,338,454,2068,1169,128,83,117,56,MA
2016,275,456,824,1007,1396,5158,2595,409,309,398,191,MA
2017,133,284,415,504,655,2026,1010,143,146,189,89,MA
2018,72,73,117,129,171,667,327,42,43,24,18,MA
2019,165,251,524,571,468,1384,630,77,58,81,18,MA
2020,71,74,139,148,208,691,357,42,25,38,15,MA
2001,20,38,90,204,230,1149,612,72,50,29,11,MT
2002,113,223,519,777,911,3587,1840,185,130,112,20,MT
2003,56,273,571,834,1108,3913,2029,191,143,124,23,MT
2004,35,103,131,206,239,912,519,57,33,49,12,MT
2005,45,148,310,587,677,2897,1562,163,118,109,26,MT
2006,96,173,462,770,906,3664,2113,214,129,136,28,MT
2007,147,359,769,1358,1589,6243,3476,369,231,238,48,MT
2008,68,175,312,481,569,2330,1309,150,107,104,14,MT
2009,1058,2891,4780,5494,4895,17810,9616,977,694,813,159,MT
2010,605,1722,2845,3391,3633,13422,7353,805,606,658,203,MT
2011,105,211,270,308,404,1610,965,130,75,84,28,MT
2012,500,879,1784,2825,3259,11486,6432,708,471,507,142,MT
2013,434,930,1602,2360,3414,12770,7383,756,510,569,174,MT
2014,152,283,330,436,702,2514,1289,153,103,97,33,MT
2015,352,677,1084,1530,1962,7514,4480,487,300,336,88,MT
2016,418,837,1058,1277,1822,6926,4484,547,391,404,95,MT
2017,150,277,466,651,961,3329,2015,288,188,164,58,MT
2018,135,343,490,560,615,2316,1433,233,164,164,56,MT
2019,246,538,773,902,883,3360,2170,304,183,206,67,MT
2020,699,1513,2481,2578,2673,10874,6823,880,589,628,196,MT
2001,43,185,347,684,971,4135,2189,234,153,150,43,MS
2002,53,265,503,933,1376,5218,2338,261,169,174,39,MS
2003,18,21,73,131,222,898,526,56,29,28,8,MS
2004,3,1,12,11,27,113,84,13,6,13,2,MS
2005,4,12,15,32,52,254,172,21,20,9,4,MS
2006,65,93,366,771,995,4034,2932,399,282,298,69,MS
2007,88,235,675,1207,1555,6292,3887,512,351,423,137,MS
2008,12,19,26,39,61,236,142,21,15,16,5,MS
2009,145,451,960,1219,1467,4587,2775,354,245,272,137,MS
2010,551,1307,2989,4586,5846,21405,13253,1663,1245,1444,386,MS
2011,130,192,326,489,557,2252,1470,181,120,138,39,MS
2012,125,145,341,671,883,3057,2018,279,170,182,48,MS
2013,377,738,1737,3256,4687,17264,11396,1491,1138,1208,374,MS
2014,56,95,132,190,323,1097,612,74,46,49,20,MS
2015,382,511,1074,2055,2466,8758,5911,825,555,606,189,MS
2016,422,915,1846,2646,3347,12312,8361,1222,827,858,298,MS
2017,40,59,111,127,180,661,376,36,35,37,12,MS
2018,47,116,241,360,498,2169,1381,186,120,111,38,MS
2019,730,1598,3339,4840,5493,20404,13282,1935,1222,1377,454,MS
2020,655,1188,2186,3085,3684,16014,11205,1622,1228,1293,427,MS
2001,70,285,691,1497,2245,9759,6076,816,536,450,162,MG
2002,191,517,1343,2630,3721,15106,8720,1007,758,646,179,MG
2003,92,152,425,954,1387,5427,3506,438,295,327,72,MG
2004,46,174,511,1017,1459,5421,3326,421,303,314,61,MG
2005,43,119,343,763,1157,4562,2968,341,267,270,58,MG
2006,128,327,1017,2072,2826,11283,7799,944,737,776,208,MG
2007,153,260,819,1900,2790,10486,6724,801,543,643,161,MG
2008,455,799,1920,3458,4296,15738,9751,1211,885,947,272,MG
2009,480,969,2394,4287,5073,19321,11813,1391,958,990,247,MG
2010,1760,3253,7458,15979,20889,75608,48210,6125,4065,4805,1303,MG
2011,303,536,1285,2453,3368,12074,7904,1058,741,885,274,MG
2012,397,512,1109,2087,2834,10392,5991,725,481,538,181,MG
2013,2617,5504,12203,27972,43648,157664,91170,11575,7507,7947,2453,MG
2014,541,709,1498,3481,5200,19724,13235,1835,1310,1518,459,MG
2015,1627,2418,5722,12083,17904,63880,42815,6314,4297,4498,1474,MG
2016,5176,9567,17662,30335,44685,168290,113046,17059,11603,12498,4688,MG
2017,294,492,879,1391,2188,7633,4847,714,521,589,243,MG
2018,296,520,1004,1664,2422,9598,6178,870,598,689,232,MG
2019,4738,10828,19210,29479,38555,153972,103349,15879,10737,10557,3863,MG
2020,776,1520,2845,3800,5008,23748,15801,2311,1602,1468,524,MG
2001,138,396,757,1151,1662,5659,2648,322,232,272,61,PA
2002,93,236,528,805,1122,4364,2154,245,185,179,58,PA
2003,87,237,479,774,1000,3579,1950,217,156,160,42,PA
2004,54,130,246,316,554,2045,1075,113,78,77,12,PA
2005,51,168,372,525,701,2649,1332,141,100,103,36,PA
2006,48,155,269,424,566,1959,1007,126,86,84,34,PA
2007,261,455,958,962,1069,4186,2201,232,168,159,46,PA
2008,242,607,1061,1085,1223,4540,2312,269,219,231,70,PA
