year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80,code
2017,34,81,130,172,202,240,217,247,285,305,254,294,259,181,161,136,102,97,GO
2018,55,113,201,287,324,331,341,377,430,406,428,399,353,301,235,213,131,169,GO
2019,69,125,291,334,368,423,407,472,486,512,479,501,431,409,331,286,210,223,GO
2020,64,82,110,119,155,165,183,161,183,208,176,198,198,173,128,119,67,86,GO
2000,2,12,38,100,158,157,123,108,121,89,78,70,54,35,30,18,19,27,MA
2001,3,45,110,227,422,343,271,251,246,193,223,175,157,132,99,76,44,55,MA
2002,6,63,142,298,564,494,366,338,310,275,291,229,217,145,102,91,59,56,MA
2003,13,44,113,329,533,443,332,260,245,206,193,198,186,150,100,88,45,48,MA
2004,4,22,40,125,258,242,166,173,111,110,106,89,78,72,44,44,24,23,MA
2005,11,57,163,275,465,396,379,302,249,200,188,191,154,150,110,74,44,51,MA
2006,9,74,175,248,397,332,251,184,177,168,153,113,104,85,54,44,30,32,MA
2007,138,438,841,520,513,451,361,289,267,246,222,222,176,155,122,82,66,68,MA
2008,75,209,427,321,353,291,255,205,163,147,111,121,108,74,67,45,41,35,MA
2009,23,109,168,264,322,226,226,152,129,118,125,88,80,68,44,39,24,26,MA
2010,82,239,490,393,413,396,318,260,228,153,146,130,121,101,88,68,45,46,MA
2011,97,294,499,603,719,626,602,475,331,308,253,256,209,187,128,116,82,109,MA
2012,57,154,232,356,570,472,430,348,251,210,208,186,150,137,90,85,62,65,MA
2013,54,157,191,274,373,285,295,219,182,166,131,119,91,84,77,49,49,71,MA
2014,36,128,168,238,377,289,303,215,174,145,158,120,102,74,64,53,34,53,MA
2015,46,192,285,293,465,335,370,319,251,209,211,209,201,153,112,113,81,113,MA
2016,77,256,386,430,508,407,407,419,343,262,279,252,251,196,193,146,134,181,MA
2017,23,110,162,185,231,161,183,174,141,128,107,101,96,95,84,65,77,86,MA
2018,8,19,24,36,66,58,56,53,33,33,30,30,31,18,8,14,14,15,MA
2019,23,108,246,288,257,167,134,138,125,81,86,80,64,47,49,35,38,49,MA
2020,5,38,53,57,74,42,58,30,51,40,33,35,18,28,12,6,19,12,MA
2000,3,14,22,28,46,57,48,37,40,29,30,14,25,20,17,7,7,6,MT
2001,1,4,3,26,40,35,51,39,36,32,18,17,11,15,14,4,11,5,MT
2002,5,29,62,108,157,166,115,137,116,72,87,54,54,46,30,22,10,17,MT
2003,6,40,83,110,191,198,163,152,122,110,75,67,51,62,55,41,22,21,MT
2004,1,8,22,55,85,65,74,51,42,51,42,36,28,23,16,12,14,6,MT
2005,1,16,25,77,129,105,101,105,96,84,61,65,44,20,22,23,18,11,MT
2006,3,16,47,74,80,87,99,84,89,86,48,37,41,27,22,13,6,10,MT
2007,1,20,52,49,101,118,90,95,84,65,60,47,38,22,34,18,11,14,MT
2008,6,38,66,57,80,81,78,69,49,70,39,39,21,19,15,9,11,8,MT
2009,131,336,893,786,434,380,390,350,345,308,279,206,183,156,124,92,59,34,MT
2010,92,180,515,513,385,355,343,315,270,258,239,204,186,127,94,87,53,42,MT
2011,22,45,64,84,96,98,100,84,69,69,69,50,39,37,36,24,14,13,MT
